timeStep;demandHeat;demandElectricity;PV2;GasBoiler2;Battery2Discharge;Battery2Charge;ElecBuy;ElecSell;Battery2SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusPV2;plusGasBoiler2;plusBattery2Discharge;plusBattery2Charge;plusElecBuy;plusElecSell
441.00;-1.03;-0.40;1.43;1.05;0.00;0.00;0.00;1.03;0.00;-0.02;0.25;1.03;1.03;0.40;1.43;1.03;0.00;0.00;0.00;-1.03
442.00;0.00;-0.34;1.66;0.00;0.00;0.00;0.00;1.32;0.00;-0.04;0.25;-0.00;0.00;0.34;1.66;0.00;0.00;0.00;0.00;-1.32
443.00;-1.29;-0.45;1.99;1.32;0.00;0.00;0.00;1.54;0.00;-0.03;0.25;1.29;1.29;0.45;1.99;1.29;0.00;0.00;0.00;-1.54
444.00;-1.03;-0.40;2.16;1.05;0.00;0.00;0.00;1.76;0.00;-0.04;0.25;1.03;1.03;0.40;2.16;1.03;0.00;0.00;0.00;-1.76
445.00;-1.03;-0.65;2.26;1.05;0.00;0.00;0.00;1.61;0.00;-0.03;0.25;1.03;1.03;0.65;2.26;1.03;0.00;0.00;0.00;-1.61
446.00;-0.52;-0.72;2.01;0.53;0.00;0.00;0.00;1.29;0.00;-0.03;0.25;0.52;0.52;0.72;2.01;0.52;0.00;0.00;0.00;-1.29
447.00;-1.03;-0.34;3.30;1.05;0.00;0.00;0.00;2.97;0.00;-0.08;0.25;1.03;1.03;0.34;3.30;1.03;0.00;0.00;0.00;-2.97
448.00;-1.03;-0.34;2.67;1.05;0.00;0.00;0.00;2.33;0.00;-0.06;0.25;1.03;1.03;0.34;2.67;1.03;0.00;0.00;0.00;-2.33
449.00;-0.26;-0.32;1.61;0.26;0.00;0.00;0.00;1.29;0.00;-0.04;0.25;0.26;0.26;0.32;1.61;0.26;0.00;0.00;0.00;-1.29
450.00;-1.29;-0.26;0.97;1.32;0.00;0.00;0.00;0.71;0.00;-0.00;0.25;1.29;1.29;0.26;0.97;1.29;0.00;0.00;0.00;-0.71
451.00;-1.03;-0.22;0.75;1.05;0.00;0.00;0.00;0.53;0.00;-0.00;0.25;1.03;1.03;0.22;0.75;1.03;0.00;0.00;0.00;-0.53
452.00;-0.52;-0.34;0.53;0.53;0.00;0.00;0.00;0.18;0.00;0.00;0.25;0.52;0.52;0.34;0.53;0.52;0.00;0.00;0.00;-0.18
453.00;-0.77;-0.36;0.34;0.79;0.00;0.00;0.02;0.00;0.00;0.01;0.25;0.77;0.77;0.36;0.34;0.77;0.00;0.00;0.02;-0.00
454.00;-1.03;-0.42;0.10;1.05;0.00;0.00;0.32;0.00;0.00;0.04;0.25;1.03;1.03;0.42;0.10;1.03;0.00;0.00;0.32;-0.00
455.00;-0.77;-0.43;0.24;0.79;0.00;0.00;0.19;0.00;0.00;0.02;0.25;0.77;0.77;0.43;0.24;0.77;0.00;0.00;0.19;-0.00
456.00;-0.52;-0.58;0.24;0.53;0.00;0.00;0.34;0.00;0.00;0.03;0.25;0.52;0.52;0.58;0.24;0.52;0.00;0.00;0.34;-0.00
457.00;-1.81;-0.79;0.27;1.84;0.00;0.00;0.51;0.00;0.00;0.06;0.25;1.81;1.81;0.79;0.27;1.81;0.00;0.00;0.51;-0.00
458.00;-1.29;-0.76;0.35;1.32;0.00;0.00;0.42;0.00;0.00;0.05;0.25;1.29;1.29;0.76;0.35;1.29;0.00;0.00;0.42;-0.00
459.00;-1.29;-0.38;0.34;1.32;0.00;0.00;0.04;0.00;0.00;0.02;0.25;1.29;1.29;0.38;0.34;1.29;0.00;0.00;0.04;-0.00
