timeStep;demandHeat;demandElectricity;ThermalStorage4Discharge;ThermalStorage4Charge;CHP4;ElecBuy;ElecSell;ThermalStorage4SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusThermalStorage4Discharge;plusThermalStorage4Charge;plusCHP4;plusElecBuy;plusElecSell
115.00;-8.80;-2.61;3.30;0.00;9.01;0.00;0.00;18.52;0.15;0.25;8.80;8.80;2.61;2.97;0.00;5.50;0.00;-0.00
116.00;-12.73;-2.51;7.44;0.00;8.67;0.00;0.00;17.60;0.15;0.25;12.73;12.73;2.51;6.70;0.00;5.29;0.00;-0.00
117.00;-12.78;-2.48;7.56;0.00;8.55;0.00;0.00;15.54;0.15;0.25;12.78;12.78;2.48;6.81;0.00;5.22;0.00;-0.00
118.00;-6.53;-2.72;0.82;0.00;9.36;0.00;0.00;13.44;0.16;0.25;6.53;6.53;2.72;0.74;0.00;5.71;0.00;-0.00
119.00;-3.75;-3.03;0.00;2.62;10.44;0.00;0.00;13.21;0.18;0.25;3.75;3.75;3.03;0.00;2.36;6.37;0.00;-0.00
120.00;-10.45;-3.34;3.42;0.00;11.53;0.00;0.00;13.80;0.20;0.25;10.45;10.45;3.34;3.08;0.00;7.03;0.00;-0.00
121.00;-24.44;-3.80;16.45;0.00;13.11;0.00;0.00;12.85;0.22;0.25;24.44;24.44;3.80;14.80;0.00;8.00;0.00;-0.00
122.00;-19.56;-4.30;4.61;0.00;24.51;0.00;2.81;8.28;0.33;0.25;19.56;19.56;4.30;4.15;0.00;14.95;0.00;-2.81
123.00;-8.34;-5.23;0.00;2.65;18.03;0.00;0.00;7.00;0.31;0.25;8.34;8.34;5.23;0.00;2.39;11.00;0.00;-0.00
124.00;-28.38;-6.72;6.24;0.00;36.30;0.00;3.81;7.59;0.50;0.25;28.38;28.38;6.72;5.62;0.00;22.14;0.00;-3.81
125.00;-38.03;-6.75;7.47;0.00;50.10;0.00;7.78;5.86;0.62;0.25;38.03;38.03;6.75;6.72;0.00;30.56;0.00;-7.78
126.00;-17.71;-5.74;1.70;0.00;26.25;0.00;1.87;3.78;0.39;0.25;17.71;17.71;5.74;1.53;0.00;16.01;0.00;-1.87
127.00;-17.99;-5.21;2.47;0.00;25.45;0.00;2.17;3.31;0.37;0.25;17.99;17.99;5.21;2.22;0.00;15.52;0.00;-2.17
128.00;-24.68;-5.09;7.12;0.00;28.78;0.00;3.25;2.63;0.39;0.25;24.68;24.68;5.09;6.41;0.00;17.56;0.00;-3.25
129.00;-15.47;-5.62;2.34;0.00;21.52;0.00;0.62;0.65;0.35;0.25;15.47;15.47;5.62;2.11;0.00;13.13;0.00;-0.62
130.00;-11.97;-6.66;0.00;2.03;22.95;0.00;0.00;0.00;0.39;0.25;11.97;11.97;6.66;0.00;1.82;14.00;0.00;-0.00
131.00;-11.52;-6.73;0.00;2.64;23.21;0.00;0.00;0.46;0.40;0.25;11.52;11.52;6.73;0.00;2.38;14.16;0.00;-0.00
132.00;-8.39;-7.27;0.00;6.92;25.08;0.00;0.00;1.05;0.43;0.25;8.39;8.39;7.27;0.00;6.22;15.30;0.00;-0.00
133.00;-8.52;-7.12;0.00;6.46;24.57;0.00;0.00;2.61;0.42;0.25;8.52;8.52;7.12;0.00;5.81;14.98;0.00;-0.00
134.00;-11.80;-6.36;0.00;1.58;21.93;0.00;0.00;4.06;0.38;0.25;11.80;11.80;6.36;0.00;1.42;13.38;0.00;-0.00
135.00;-12.39;-7.50;0.00;3.38;25.86;0.00;0.00;4.42;0.44;0.25;12.39;12.39;7.50;0.00;3.04;15.78;0.00;-0.00
136.00;-13.79;-6.71;0.00;0.33;23.14;0.00;0.00;5.18;0.40;0.25;13.79;13.79;6.71;0.00;0.30;14.12;0.00;-0.00
137.00;-12.20;-6.90;0.00;2.31;23.78;0.00;0.00;5.25;0.41;0.25;12.20;12.20;6.90;0.00;2.08;14.51;0.00;-0.00
138.00;-9.15;-6.08;0.00;3.65;20.98;0.00;0.00;5.77;0.36;0.25;9.15;9.15;6.08;0.00;3.28;12.80;0.00;-0.00
139.00;-10.73;-3.90;2.51;0.00;13.46;0.00;0.00;6.59;0.23;0.25;10.73;10.73;3.90;2.26;0.00;8.21;0.00;-0.00
140.00;-14.01;-3.98;5.63;0.00;13.74;0.00;0.00;5.89;0.24;0.25;14.01;14.01;3.98;5.07;0.00;8.38;0.00;-0.00
141.00;-18.54;-4.23;9.64;0.00;14.60;0.00;0.00;4.33;0.25;0.25;18.54;18.54;4.23;8.67;0.00;8.91;0.00;-0.00
142.00;-14.15;-4.23;5.25;0.00;14.60;0.00;0.00;1.65;0.25;0.25;14.15;14.15;4.23;4.72;0.00;8.91;0.00;-0.00
143.00;-10.04;-4.72;0.12;0.00;16.26;0.00;0.00;0.19;0.28;0.25;10.04;10.04;4.72;0.11;0.00;9.92;0.00;-0.00
144.00;-9.74;-5.71;0.00;2.27;19.68;0.00;0.00;0.16;0.34;0.25;9.74;9.74;5.71;0.00;2.04;12.01;0.00;-0.00
145.00;-8.15;-6.50;0.00;5.53;22.42;0.00;0.00;0.67;0.38;0.25;8.15;8.15;6.50;0.00;4.97;13.68;0.00;-0.00
146.00;-7.94;-7.62;0.00;8.09;26.28;0.00;0.00;1.91;0.45;0.25;7.94;7.94;7.62;0.00;7.28;16.03;0.00;-0.00
147.00;-8.67;-8.86;0.00;9.97;30.54;0.00;0.00;3.73;0.52;0.25;8.67;8.67;8.86;0.00;8.97;18.63;0.00;-0.00
148.00;-9.23;-8.71;0.00;9.09;30.03;0.00;0.00;5.98;0.51;0.25;9.23;9.23;8.71;0.00;8.18;18.32;0.00;-0.00
149.00;-9.14;-6.60;0.00;4.75;22.77;0.00;0.00;8.02;0.39;0.25;9.14;9.14;6.60;0.00;4.27;13.89;0.00;-0.00
150.00;-9.54;-5.13;0.00;1.25;17.69;0.00;0.00;9.09;0.30;0.25;9.54;9.54;5.13;0.00;1.12;10.79;0.00;-0.00
