timeStep;demandHeat;demandElectricity;PV2;GasBoiler2;Battery2Discharge;Battery2Charge;ElecBuy;ElecSell;Battery2SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusPV2;plusGasBoiler2;plusBattery2Discharge;plusBattery2Charge;plusElecBuy;plusElecSell
416.00;-1.03;-0.32;0.30;1.05;0.00;0.00;0.02;0.00;0.11;0.02;0.25;1.03;1.03;0.32;0.30;1.03;0.00;0.00;0.02;-0.00
417.00;-0.52;-0.32;0.25;0.53;0.01;0.00;0.06;0.00;0.11;0.01;0.25;0.52;0.52;0.32;0.25;0.52;0.01;0.00;0.06;-0.00
418.00;-1.03;-0.44;0.22;1.05;0.01;0.00;0.20;0.00;0.11;0.03;0.25;1.03;1.03;0.44;0.22;1.03;0.01;0.00;0.20;-0.00
419.00;-1.03;-0.57;0.18;1.05;0.02;0.00;0.38;0.00;0.11;0.04;0.25;1.03;1.03;0.57;0.18;1.03;0.01;0.00;0.38;-0.00
420.00;-0.52;-0.18;0.20;0.53;0.00;0.01;0.00;0.00;0.10;0.01;0.25;0.52;0.52;0.18;0.20;0.52;0.00;0.01;0.00;-0.00
421.00;-1.29;-0.90;0.25;1.32;0.02;0.00;0.63;0.00;0.10;0.06;0.25;1.29;1.29;0.90;0.25;1.29;0.02;0.00;0.63;-0.00
422.00;-1.03;-1.84;0.32;1.05;0.02;0.00;1.50;0.00;0.10;0.11;0.25;1.03;1.03;1.84;0.32;1.03;0.02;0.00;1.50;-0.00
423.00;-1.03;-1.74;0.35;1.05;0.02;0.00;1.37;0.00;0.09;0.10;0.25;1.03;1.03;1.74;0.35;1.03;0.02;0.00;1.37;-0.00
424.00;-0.77;-0.96;0.34;0.79;0.02;0.00;0.60;0.00;0.09;0.05;0.25;0.77;0.77;0.96;0.34;0.77;0.02;0.00;0.60;-0.00
425.00;-1.03;-0.83;0.36;1.05;0.02;0.00;0.45;0.00;0.09;0.04;0.25;1.03;1.03;0.83;0.36;1.03;0.02;0.00;0.45;-0.00
426.00;-2.06;-1.81;0.30;2.10;0.03;0.00;1.49;0.00;0.08;0.12;0.25;2.06;2.06;1.81;0.30;2.06;0.03;0.00;1.49;-0.00
427.00;0.00;-1.40;0.31;0.00;0.03;0.00;1.07;0.00;0.07;0.07;0.25;-0.00;0.00;1.40;0.31;0.00;0.03;0.00;1.07;-0.00
428.00;-1.29;-0.78;0.29;1.32;0.03;0.00;0.46;0.00;0.06;0.05;0.25;1.29;1.29;0.78;0.29;1.29;0.03;0.00;0.46;-0.00
429.00;-0.77;-0.91;0.37;0.79;0.05;0.00;0.49;0.00;0.06;0.04;0.25;0.77;0.77;0.91;0.37;0.77;0.05;0.00;0.49;-0.00
430.00;-0.26;-0.24;0.56;0.26;0.00;0.32;0.00;0.00;0.04;0.00;0.25;0.26;0.26;0.24;0.56;0.26;0.00;0.31;0.00;-0.00
431.00;-1.29;-0.30;0.54;1.32;0.00;0.25;0.00;0.00;0.12;0.02;0.25;1.29;1.29;0.30;0.54;1.29;0.00;0.24;0.00;-0.00
432.00;-2.06;-0.40;0.68;2.10;0.00;0.28;0.00;0.00;0.18;0.03;0.25;2.06;2.06;0.40;0.68;2.06;0.00;0.27;0.00;-0.00
433.00;-0.52;-0.57;0.56;0.53;0.00;0.00;0.00;0.00;0.25;0.01;0.25;0.52;0.52;0.57;0.56;0.52;0.00;0.00;0.00;-0.00
434.00;-2.32;-2.08;0.51;2.37;0.53;0.00;1.04;0.00;0.25;0.10;0.25;2.32;2.32;2.08;0.51;2.32;0.52;0.00;1.04;-0.00
435.00;0.00;-0.54;0.51;0.00;0.01;0.00;0.02;0.00;0.12;0.00;0.25;-0.00;0.00;0.54;0.51;0.00;0.01;0.00;0.02;-0.00
436.00;0.00;-1.38;0.73;0.00;0.45;0.00;0.20;0.00;0.11;0.01;0.25;-0.00;0.00;1.38;0.73;0.00;0.44;0.00;0.20;-0.00
437.00;-2.58;-0.50;0.73;2.63;0.00;0.00;0.00;0.23;0.00;0.03;0.25;2.58;2.58;0.50;0.73;2.58;0.00;0.00;0.00;-0.23
438.00;-1.29;-0.42;0.70;1.32;0.00;0.00;0.00;0.29;0.00;0.01;0.25;1.29;1.29;0.42;0.70;1.29;0.00;0.00;0.00;-0.29
439.00;-1.03;-0.41;0.91;1.05;0.00;0.00;0.00;0.50;0.00;-0.00;0.25;1.03;1.03;0.41;0.91;1.03;0.00;0.00;0.00;-0.50
440.00;-0.77;-0.30;1.36;0.79;0.00;0.00;0.00;1.06;0.00;-0.02;0.25;0.77;0.77;0.30;1.36;0.77;0.00;0.00;0.00;-1.06
441.00;-1.03;-0.40;1.43;1.05;0.00;0.00;0.00;1.03;0.00;-0.02;0.25;1.03;1.03;0.40;1.43;1.03;0.00;0.00;0.00;-1.03
442.00;0.00;-0.34;1.66;0.00;0.00;0.00;0.00;1.32;0.00;-0.04;0.25;-0.00;0.00;0.34;1.66;0.00;0.00;0.00;0.00;-1.32
443.00;-1.29;-0.45;1.99;1.32;0.00;0.10;0.00;1.45;0.00;-0.03;0.25;1.29;1.29;0.45;1.99;1.29;0.00;0.09;0.00;-1.45
444.00;-1.03;-0.40;2.16;1.05;0.00;0.10;0.00;1.66;0.02;-0.04;0.25;1.03;1.03;0.40;2.16;1.03;0.00;0.10;0.00;-1.66
445.00;-1.03;-0.65;2.26;1.05;0.00;0.15;0.00;1.46;0.05;-0.03;0.25;1.03;1.03;0.65;2.26;1.03;0.00;0.15;0.00;-1.46
446.00;-0.52;-0.72;2.01;0.53;0.00;0.32;0.00;0.97;0.09;-0.02;0.25;0.52;0.52;0.72;2.01;0.52;0.00;0.31;0.00;-0.97
447.00;-1.03;-0.34;3.30;1.05;0.00;0.23;0.00;2.74;0.16;-0.07;0.25;1.03;1.03;0.34;3.30;1.03;0.00;0.22;0.00;-2.74
448.00;-1.03;-0.34;2.67;1.05;0.00;0.21;0.00;2.12;0.22;-0.05;0.25;1.03;1.03;0.34;2.67;1.03;0.00;0.21;0.00;-2.12
449.00;-0.26;-0.32;1.61;0.26;0.00;0.47;0.00;0.82;0.27;-0.02;0.25;0.26;0.26;0.32;1.61;0.26;0.00;0.46;0.00;-0.82
450.00;-1.29;-0.26;0.97;1.32;0.00;0.71;0.00;0.00;0.39;0.02;0.25;1.29;1.29;0.26;0.97;1.29;0.00;0.70;0.00;-0.00
451.00;-1.03;-0.22;0.75;1.05;0.00;0.53;0.00;0.00;0.56;0.02;0.25;1.03;1.03;0.22;0.75;1.03;0.00;0.52;0.00;-0.00
452.00;-0.52;-0.34;0.53;0.53;0.00;0.18;0.00;0.00;0.69;0.01;0.25;0.52;0.52;0.34;0.53;0.52;0.00;0.18;0.00;-0.00
453.00;-0.77;-0.36;0.34;0.79;0.00;0.00;0.01;0.00;0.74;0.01;0.25;0.77;0.77;0.36;0.34;0.77;0.00;0.00;0.01;-0.00
454.00;-1.03;-0.42;0.10;1.05;0.06;0.00;0.26;0.00;0.73;0.03;0.25;1.03;1.03;0.42;0.10;1.03;0.06;0.00;0.26;-0.00
455.00;-0.77;-0.43;0.24;0.79;0.03;0.00;0.16;0.00;0.72;0.02;0.25;0.77;0.77;0.43;0.24;0.77;0.03;0.00;0.16;-0.00
456.00;-0.52;-0.58;0.24;0.53;0.05;0.00;0.29;0.00;0.71;0.03;0.25;0.52;0.52;0.58;0.24;0.52;0.05;0.00;0.29;-0.00
457.00;-1.81;-0.79;0.27;1.84;0.07;0.00;0.45;0.00;0.70;0.06;0.25;1.81;1.81;0.79;0.27;1.81;0.06;0.00;0.45;-0.00
458.00;-1.29;-0.76;0.35;1.32;0.06;0.00;0.36;0.00;0.68;0.04;0.25;1.29;1.29;0.76;0.35;1.29;0.05;0.00;0.36;-0.00
459.00;-1.29;-0.38;0.34;1.32;0.01;0.00;0.03;0.00;0.67;0.02;0.25;1.29;1.29;0.38;0.34;1.29;0.01;0.00;0.03;-0.00
460.00;-0.77;-0.67;0.21;0.79;0.06;0.00;0.41;0.00;0.66;0.04;0.25;0.77;0.77;0.67;0.21;0.77;0.06;0.00;0.41;-0.00
461.00;-1.29;-0.83;0.17;1.32;0.06;0.00;0.59;0.00;0.65;0.06;0.25;1.29;1.29;0.83;0.17;1.29;0.06;0.00;0.59;-0.00
462.00;-1.29;-1.04;0.19;1.32;0.08;0.00;0.77;0.00;0.63;0.07;0.25;1.29;1.29;1.04;0.19;1.29;0.08;0.00;0.77;-0.00
463.00;-0.52;-1.13;0.15;0.53;0.08;0.00;0.90;0.00;0.61;0.06;0.25;0.52;0.52;1.13;0.15;0.52;0.08;0.00;0.90;-0.00
464.00;-1.03;-1.32;0.11;1.05;0.08;0.00;1.13;0.00;0.59;0.09;0.25;1.03;1.03;1.32;0.11;1.03;0.08;0.00;1.13;-0.00
465.00;-1.81;-1.21;0.09;1.84;0.08;0.00;1.04;0.00;0.57;0.09;0.25;1.81;1.81;1.21;0.09;1.81;0.08;0.00;1.04;-0.00
466.00;-1.29;-1.14;0.06;1.32;0.08;0.00;1.00;0.00;0.55;0.08;0.25;1.29;1.29;1.14;0.06;1.29;0.08;0.00;1.00;-0.00
467.00;-0.52;-1.15;0.02;0.53;0.08;0.00;1.04;0.00;0.53;0.07;0.25;0.52;0.52;1.15;0.02;0.52;0.08;0.00;1.04;-0.00
468.00;-1.03;-1.17;0.00;1.05;0.08;0.00;1.09;0.00;0.51;0.08;0.25;1.03;1.03;1.17;0.00;1.03;0.08;0.00;1.09;-0.00
