timeStep;demandHeat;demandElectricity;ThermalStorage4Discharge;ThermalStorage4Charge;CHP4;ElecBuy;ElecSell;ThermalStorage4SOC;Cost;CO2;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusThermalStorage4Discharge;plusThermalStorage4Charge;plusCHP4;plusElecBuy;plusElecSell
138.00;-9.15;-6.08;0.00;0.00;15.00;1.73;0.00;0.00;0.28;0.96;0.05;9.15;9.15;6.08;0.00;0.00;9.15;1.73;-0.00
139.00;-10.73;-3.90;0.00;0.00;17.58;0.00;1.20;0.00;0.29;0.89;0.05;10.73;10.73;3.90;0.00;0.00;10.73;0.00;-1.20
140.00;-14.01;-3.98;0.00;0.00;22.97;0.00;2.68;0.00;0.38;1.16;0.05;14.01;14.01;3.98;0.00;0.00;14.01;0.00;-2.68
141.00;-18.54;-4.23;0.00;0.00;30.40;0.00;4.58;0.00;0.46;1.54;0.11;18.54;18.54;4.23;0.00;0.00;18.54;0.00;-4.58
142.00;-14.15;-4.23;0.00;0.00;23.20;0.00;2.49;0.00;0.34;1.17;0.18;14.15;14.15;4.23;0.00;0.00;14.15;0.00;-2.49
143.00;-10.04;-4.72;0.00;0.00;16.46;0.00;0.06;0.00;0.28;0.83;0.24;10.04;10.04;4.72;0.00;0.00;10.04;0.00;-0.06
144.00;-9.74;-5.71;0.00;2.27;19.68;0.00;0.00;0.00;0.34;0.99;0.30;9.74;9.74;5.71;0.00;2.04;12.01;0.00;-0.00
145.00;-8.15;-6.50;0.00;5.53;22.42;0.00;0.00;0.51;0.38;1.13;0.30;8.15;8.15;6.50;0.00;4.97;13.68;0.00;-0.00
146.00;-7.94;-7.62;0.00;8.09;26.28;0.00;0.00;1.75;0.45;1.33;0.30;7.94;7.94;7.62;0.00;7.28;16.03;0.00;-0.00
147.00;-8.67;-8.86;0.00;9.97;30.54;0.00;0.00;3.58;0.52;1.54;0.30;8.67;8.67;8.86;0.00;8.97;18.63;0.00;-0.00
148.00;-9.23;-8.71;0.00;9.09;30.03;0.00;0.00;5.82;0.51;1.52;0.30;9.23;9.23;8.71;0.00;8.18;18.32;0.00;-0.00
149.00;-9.14;-6.60;0.00;4.75;22.77;0.00;0.00;7.86;0.39;1.15;0.30;9.14;9.14;6.60;0.00;4.27;13.89;0.00;-0.00
150.00;-9.54;-5.13;0.00;1.25;17.69;0.00;0.00;8.93;0.30;0.89;0.30;9.54;9.54;5.13;0.00;1.12;10.79;0.00;-0.00
151.00;-8.97;-4.75;0.00;1.03;16.39;0.00;0.00;9.21;0.28;0.83;0.30;8.97;8.97;4.75;0.00;0.92;10.00;0.00;-0.00
152.00;-19.39;-4.07;5.74;0.00;22.37;0.00;2.41;9.44;0.29;1.13;0.30;19.39;19.39;4.07;5.17;0.00;13.64;0.00;-2.41
153.00;-29.85;-3.89;12.43;0.00;28.55;0.00;4.39;7.85;0.32;1.44;0.30;29.85;29.85;3.89;11.19;0.00;17.42;0.00;-4.39
154.00;-22.19;-4.64;5.03;0.00;28.13;0.00;3.52;4.39;0.35;1.42;0.30;22.19;22.19;4.64;4.53;0.00;17.16;0.00;-3.52
155.00;-17.53;-5.23;1.26;0.00;26.68;0.00;2.51;2.99;0.36;1.35;0.30;17.53;17.53;5.23;1.13;0.00;16.27;0.00;-2.51
156.00;-16.40;-4.54;0.89;0.00;25.42;0.00;2.83;2.65;0.33;1.28;0.30;16.40;16.40;4.54;0.80;0.00;15.51;0.00;-2.83
157.00;-12.60;-3.30;1.02;0.00;19.00;0.00;2.21;2.40;0.24;0.96;0.30;12.60;12.60;3.30;0.91;0.00;11.59;0.00;-2.21
