timeStep;demandHeat;demandElectricity;SolarThermic5;ThermalStorage5Discharge;ThermalStorage5Charge;CHP5;ElecBuy;ElecSell;ThermalStorage5SOC;Cost;CO2;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusSolarThermic5;plusThermalStorage5Discharge;plusThermalStorage5Charge;plusCHP5;plusElecBuy;plusElecSell
73.00;-11.37;-4.00;1.10;0.12;0.00;16.92;0.00;0.74;0.38;0.26;0.85;0.30;11.37;11.37;4.00;1.10;0.11;0.00;10.15;0.00;-0.74
74.00;-14.82;-3.74;1.39;0.15;0.00;22.12;0.00;2.46;0.35;0.29;1.12;0.30;14.82;14.82;3.74;1.39;0.14;0.00;13.27;0.00;-2.46
75.00;-20.31;-4.34;1.36;0.15;0.00;31.33;0.00;4.43;0.30;0.37;1.58;0.30;20.31;20.31;4.34;1.36;0.13;0.00;18.80;0.00;-4.43
76.00;-16.32;-4.66;0.83;0.12;0.00;25.61;0.00;2.51;0.26;0.34;1.29;0.30;16.32;16.32;4.66;0.83;0.11;0.00;15.36;0.00;-2.51
77.00;-15.03;-5.48;0.69;0.09;0.00;23.74;0.00;1.16;0.23;0.36;1.20;0.30;15.03;15.03;5.48;0.69;0.08;0.00;14.24;0.00;-1.16
78.00;-13.14;-5.07;0.75;0.07;0.00;20.52;0.00;0.68;0.20;0.33;1.04;0.30;13.14;13.14;5.07;0.75;0.06;0.00;12.31;0.00;-0.68
79.00;-11.92;-4.60;0.61;0.06;0.00;18.74;0.00;0.65;0.18;0.30;0.95;0.30;11.92;11.92;4.60;0.61;0.06;0.00;11.25;0.00;-0.65
80.00;-19.74;-4.99;0.46;0.07;0.00;32.03;0.00;3.98;0.17;0.40;1.62;0.30;19.74;19.74;4.99;0.46;0.06;0.00;19.22;0.00;-3.98
81.00;-19.91;-4.95;0.36;0.05;0.00;32.48;0.00;4.15;0.15;0.40;1.64;0.30;19.91;19.91;4.95;0.36;0.05;0.00;19.49;0.00;-4.15
82.00;-14.12;-4.32;0.23;0.05;0.00;23.06;0.00;2.14;0.13;0.31;1.16;0.30;14.12;14.12;4.32;0.23;0.05;0.00;13.84;0.00;-2.14
83.00;-16.41;-4.46;0.10;0.05;0.00;27.10;0.00;3.13;0.12;0.35;1.37;0.30;16.41;16.41;4.46;0.10;0.05;0.00;16.26;0.00;-3.13
84.00;-14.48;-4.44;0.00;0.04;0.00;24.05;0.00;2.30;0.10;0.33;1.21;0.30;14.48;14.48;4.44;0.00;0.04;0.00;14.43;0.00;-2.30
85.00;-9.50;-3.65;0.00;0.03;0.00;15.79;0.00;0.77;0.09;0.24;0.80;0.30;9.50;9.50;3.65;0.00;0.03;0.00;9.47;0.00;-0.77
86.00;-15.41;-3.53;0.00;0.03;0.00;25.63;0.00;3.65;0.08;0.30;1.29;0.30;15.41;15.41;3.53;0.00;0.03;0.00;15.38;0.00;-3.65
87.00;-16.84;-3.46;0.00;0.03;0.00;28.02;0.00;4.39;0.07;0.32;1.42;0.30;16.84;16.84;3.46;0.00;0.03;0.00;16.81;0.00;-4.39
88.00;-10.75;-3.01;0.00;0.02;0.00;17.88;0.00;2.00;0.06;0.23;0.90;0.30;10.75;10.75;3.01;0.00;0.02;0.00;10.73;0.00;-2.00
89.00;-11.80;-2.94;0.00;0.02;0.00;19.63;0.00;2.56;0.06;0.24;0.99;0.30;11.80;11.80;2.94;0.00;0.02;0.00;11.78;0.00;-2.56
90.00;-17.13;-3.15;0.00;0.00;4.25;35.63;0.00;6.83;0.05;0.35;1.80;0.30;17.13;17.13;3.15;0.00;0.00;3.82;21.38;0.00;-6.83
91.00;-13.39;-3.09;0.00;0.00;8.74;36.88;0.00;7.24;1.01;0.36;1.86;0.30;13.39;13.39;3.09;0.00;0.00;7.86;22.13;0.00;-7.24
92.00;-8.54;-2.98;0.00;0.00;21.02;49.27;0.00;10.82;2.97;0.44;2.49;0.30;8.54;8.54;2.98;0.00;0.00;18.92;29.56;0.00;-10.82
93.00;-14.00;-3.00;0.00;0.00;0.00;23.34;0.00;3.54;7.70;0.29;1.18;0.24;14.00;14.00;3.00;0.00;0.00;0.00;14.00;0.00;-3.54
94.00;-16.02;-2.92;0.00;0.00;0.00;26.70;0.00;4.56;7.70;0.36;1.35;0.18;16.02;16.02;2.92;0.00;0.00;0.00;16.02;0.00;-4.56
95.00;-10.38;-2.61;0.00;0.00;0.00;17.30;0.00;2.24;7.70;0.26;0.87;0.11;10.38;10.38;2.61;0.00;0.00;0.00;10.38;0.00;-2.24
96.00;-11.21;-2.20;0.00;7.89;0.00;5.53;0.65;0.00;7.70;0.10;0.36;0.05;11.21;11.21;2.20;0.00;7.10;0.00;3.32;0.65;-0.00
97.00;-12.19;-2.22;0.00;7.42;0.00;7.94;0.00;0.00;5.51;0.14;0.40;0.05;12.19;12.19;2.22;0.00;6.68;0.00;4.76;0.00;-0.00
98.00;-8.89;-2.38;0.00;1.51;0.00;12.31;0.00;1.07;3.45;0.20;0.62;0.05;8.89;8.89;2.38;0.00;1.35;0.00;7.39;0.00;-1.07
99.00;-8.07;-2.67;0.00;0.99;0.00;11.81;0.00;0.63;3.03;0.20;0.60;0.05;8.07;8.07;2.67;0.00;0.89;0.00;7.08;0.00;-0.63
100.00;-12.35;-2.82;0.00;1.87;0.00;17.47;0.00;2.07;2.76;0.29;0.88;0.05;12.35;12.35;2.82;0.00;1.68;0.00;10.48;0.00;-2.07
101.00;-14.92;-2.76;0.00;1.76;0.00;21.93;0.00;3.38;2.24;0.35;1.11;0.05;14.92;14.92;2.76;0.00;1.59;0.00;13.16;0.00;-3.38
102.00;-11.45;-2.54;0.00;0.78;0.00;17.78;0.00;2.44;1.75;0.29;0.90;0.05;11.45;11.45;2.54;0.00;0.70;0.00;10.67;0.00;-2.44
103.00;-7.82;-2.40;0.00;0.53;0.00;12.15;0.00;1.00;1.53;0.20;0.61;0.05;7.82;7.82;2.40;0.00;0.47;0.00;7.29;0.00;-1.00
104.00;-9.78;-2.37;0.00;0.59;0.00;15.32;0.00;1.92;1.39;0.25;0.77;0.05;9.78;9.78;2.37;0.00;0.53;0.00;9.19;0.00;-1.92
105.00;-13.53;-2.39;0.00;0.53;0.00;21.66;0.00;3.67;1.22;0.35;1.09;0.05;13.53;13.53;2.39;0.00;0.48;0.00;13.00;0.00;-3.67
106.00;-11.61;-2.25;0.00;0.38;0.00;18.72;0.00;2.99;1.07;0.30;0.95;0.05;11.61;11.61;2.25;0.00;0.34;0.00;11.23;0.00;-2.99
107.00;-8.36;-2.07;0.00;0.31;0.00;13.42;0.00;1.69;0.97;0.22;0.68;0.05;8.36;8.36;2.07;0.00;0.28;0.00;8.05;0.00;-1.69
108.00;-9.78;-2.07;0.00;0.34;0.00;15.73;0.00;2.34;0.88;0.25;0.79;0.05;9.78;9.78;2.07;0.00;0.30;0.00;9.44;0.00;-2.34
109.00;-15.46;-2.23;0.00;0.32;0.00;25.24;0.00;4.83;0.79;0.40;1.27;0.05;15.46;15.46;2.23;0.00;0.29;0.00;15.14;0.00;-4.83
110.00;-13.84;-2.28;0.00;0.28;0.00;22.60;0.00;4.05;0.70;0.36;1.14;0.05;13.84;13.84;2.28;0.00;0.25;0.00;13.56;0.00;-4.05
111.00;-10.09;-2.16;0.00;0.23;0.00;16.43;0.00;2.44;0.62;0.27;0.83;0.05;10.09;10.09;2.16;0.00;0.21;0.00;9.86;0.00;-2.44
112.00;-10.05;-2.10;0.00;0.21;0.00;16.41;0.00;2.50;0.56;0.27;0.83;0.05;10.05;10.05;2.10;0.00;0.19;0.00;9.85;0.00;-2.50
113.00;-10.52;-2.09;0.00;0.18;0.00;17.25;0.00;2.74;0.50;0.28;0.87;0.05;10.52;10.52;2.09;0.00;0.16;0.00;10.35;0.00;-2.74
114.00;-9.70;-2.11;0.00;0.17;0.00;15.89;0.00;2.34;0.45;0.26;0.80;0.05;9.70;9.70;2.11;0.00;0.15;0.00;9.54;0.00;-2.34
115.00;-11.82;-2.13;0.00;0.15;0.00;19.45;0.00;3.32;0.41;0.31;0.98;0.05;11.82;11.82;2.13;0.00;0.14;0.00;11.67;0.00;-3.32
116.00;-15.52;-2.10;0.00;0.14;0.00;25.64;0.00;5.07;0.36;0.41;1.29;0.05;15.52;15.52;2.10;0.00;0.12;0.00;15.38;0.00;-5.07
117.00;-13.98;-2.14;0.00;0.12;0.00;23.09;0.00;4.33;0.33;0.37;1.17;0.05;13.98;13.98;2.14;0.00;0.11;0.00;13.86;0.00;-4.33
118.00;-13.56;-2.22;0.00;0.11;0.00;22.41;0.00;4.05;0.29;0.36;1.13;0.05;13.56;13.56;2.22;0.00;0.10;0.00;13.45;0.00;-4.05
119.00;-10.40;-2.25;0.00;0.11;0.00;17.16;0.00;2.55;0.26;0.28;0.87;0.05;10.40;10.40;2.25;0.00;0.10;0.00;10.30;0.00;-2.55
120.00;-8.66;-2.37;0.02;0.09;0.00;14.25;0.00;1.62;0.23;0.23;0.72;0.05;8.66;8.66;2.37;0.02;0.08;0.00;8.55;0.00;-1.62
121.00;-12.41;-2.73;0.11;0.09;0.00;20.37;0.00;2.97;0.21;0.33;1.03;0.05;12.41;12.41;2.73;0.11;0.08;0.00;12.22;0.00;-2.97
122.00;-16.10;-2.99;0.24;0.08;0.00;26.31;0.00;4.38;0.18;0.42;1.33;0.05;16.10;16.10;2.99;0.24;0.07;0.00;15.79;0.00;-4.38
123.00;-16.15;-3.21;0.37;0.06;0.00;26.19;0.00;4.12;0.16;0.42;1.32;0.05;16.15;16.15;3.21;0.37;0.06;0.00;15.72;0.00;-4.12
124.00;-19.64;-3.63;0.51;0.06;0.00;31.78;0.00;5.27;0.14;0.51;1.60;0.05;19.64;19.64;3.63;0.51;0.06;0.00;19.07;0.00;-5.27
125.00;-19.02;-3.56;0.69;0.06;0.00;30.45;0.00;4.97;0.13;0.49;1.54;0.05;19.02;19.02;3.56;0.69;0.05;0.00;18.27;0.00;-4.97
126.00;-9.98;-3.19;1.09;0.04;0.00;14.73;0.00;0.94;0.11;0.25;0.74;0.05;9.98;9.98;3.19;1.09;0.04;0.00;8.84;0.00;-0.94
127.00;-15.33;-2.91;1.18;0.04;0.00;23.51;0.00;3.67;0.10;0.38;1.19;0.05;15.33;15.33;2.91;1.18;0.04;0.00;14.10;0.00;-3.67
128.00;-18.71;-2.81;1.21;0.04;0.00;29.09;0.00;5.34;0.09;0.46;1.47;0.05;18.71;18.71;2.81;1.21;0.03;0.00;17.46;0.00;-5.34
129.00;-14.28;-3.08;1.01;0.03;0.00;22.08;0.00;3.10;0.08;0.36;1.11;0.05;14.28;14.28;3.08;1.01;0.03;0.00;13.25;0.00;-3.10
130.00;-15.28;-3.49;0.90;0.04;0.00;23.90;0.00;3.20;0.07;0.39;1.21;0.05;15.28;15.28;3.49;0.90;0.04;0.00;14.34;0.00;-3.20
131.00;-15.05;-3.66;0.73;0.03;0.00;23.82;0.00;3.01;0.06;0.39;1.20;0.05;15.05;15.05;3.66;0.73;0.02;0.00;14.29;0.00;-3.01
132.00;-11.13;-3.78;0.78;0.02;0.00;17.21;0.00;1.04;0.05;0.29;0.87;0.05;11.13;11.13;3.78;0.78;0.02;0.00;10.33;0.00;-1.04
133.00;-7.89;-3.67;1.00;0.00;0.00;11.48;0.46;0.00;0.04;0.20;0.63;0.05;7.89;7.89;3.67;1.00;0.00;0.00;6.89;0.46;-0.00
134.00;-12.49;-3.47;1.27;0.02;0.00;18.68;0.00;1.76;0.04;0.31;0.94;0.05;12.49;12.49;3.47;1.27;0.02;0.00;11.21;0.00;-1.76
135.00;-14.59;-3.67;1.40;0.02;0.00;21.95;0.00;2.48;0.04;0.36;1.11;0.05;14.59;14.59;3.67;1.40;0.02;0.00;13.17;0.00;-2.48
136.00;-8.66;-3.55;1.37;0.00;0.00;12.14;0.15;0.00;0.03;0.21;0.63;0.05;8.66;8.66;3.55;1.37;0.00;0.00;7.28;0.15;-0.00
137.00;-12.06;-3.64;1.44;0.01;0.00;17.66;0.00;1.30;0.03;0.29;0.89;0.05;12.06;12.06;3.64;1.44;0.01;0.00;10.60;0.00;-1.30
