timeStep;demandHeat;demandElectricity;PV3;GasBoiler3;ThermalStorage3Discharge;ThermalStorage3Charge;HeatPump3;ElecBuy;ElecSell;ThermalStorage3SOC;Cost;CO2;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusPV3;plusGasBoiler3;plusThermalStorage3Discharge;plusThermalStorage3Charge;plusHeatPump3;plusElecBuy;plusElecSell
75.00;-29.87;-8.75;2.73;20.00;4.27;0.00;2.40;8.42;0.00;2.28;0.93;2.01;0.30;29.87;29.87;8.75;2.73;19.60;3.84;0.00;6.00;8.42;-0.00
76.00;-24.60;-9.99;1.66;20.00;2.09;0.00;1.17;9.50;0.00;1.09;1.01;2.14;0.30;24.60;24.60;9.99;1.66;19.60;1.88;0.00;2.92;9.50;-0.00
77.00;-22.77;-11.26;1.39;20.00;1.41;0.00;0.70;10.58;0.00;0.51;1.09;2.26;0.30;22.77;22.77;11.26;1.39;19.60;1.27;0.00;1.76;10.58;-0.00
78.00;-20.10;-9.65;1.50;20.00;0.07;0.00;0.17;8.32;0.00;0.12;0.92;2.00;0.30;20.10;20.10;9.65;1.50;19.60;0.06;0.00;0.43;8.32;-0.00
79.00;-13.96;-7.40;1.22;20.00;0.00;5.64;0.00;6.18;0.00;0.10;0.76;1.74;0.30;13.96;13.96;7.40;1.22;19.60;0.00;5.07;0.00;6.18;-0.00
80.00;-24.67;-7.44;0.92;20.00;0.73;0.00;1.74;8.25;0.00;1.37;0.91;1.99;0.30;24.67;24.67;7.44;0.92;19.60;0.66;0.00;4.35;8.25;-0.00
81.00;-28.28;-8.41;0.73;20.00;0.92;0.00;3.10;10.79;0.00;1.17;1.10;2.29;0.30;28.28;28.28;8.41;0.73;19.60;0.83;0.00;7.76;10.79;-0.00
82.00;-20.65;-7.75;0.46;20.00;0.23;0.00;0.33;7.62;0.00;0.91;0.87;1.91;0.30;20.65;20.65;7.75;0.46;19.60;0.21;0.00;0.82;7.62;-0.00
83.00;-26.28;-8.05;0.20;20.00;1.45;0.00;2.09;9.94;0.00;0.85;1.04;2.19;0.30;26.28;26.28;8.05;0.20;19.60;1.31;0.00;5.23;9.94;-0.00
84.00;-23.40;-7.79;0.01;20.00;0.52;0.00;1.31;9.10;0.00;0.44;0.98;2.09;0.30;23.40;23.40;7.79;0.01;19.60;0.46;0.00;3.28;9.10;-0.00
85.00;-14.04;-5.76;0.00;20.00;0.00;5.56;0.00;5.76;0.00;0.30;0.73;1.69;0.30;14.04;14.04;5.76;0.00;19.60;0.00;5.01;0.00;5.76;-0.00
86.00;-24.73;-5.01;0.00;20.00;1.73;0.00;1.36;6.37;0.00;1.55;0.77;1.77;0.30;24.73;24.73;5.01;0.00;19.60;1.56;0.00;3.40;6.37;-0.00
87.00;-27.27;-5.08;0.00;20.00;1.85;0.00;2.33;7.40;0.00;1.07;0.85;1.89;0.30;27.27;27.27;5.08;0.00;19.60;1.67;0.00;5.81;7.40;-0.00
88.00;-16.36;-5.00;0.00;20.00;0.00;3.24;0.00;5.00;0.00;0.56;0.67;1.60;0.30;16.36;16.36;5.00;0.00;19.60;0.00;2.91;0.00;5.00;-0.00
89.00;-18.30;-5.15;0.00;20.00;0.00;1.30;0.00;5.15;0.00;1.29;0.68;1.62;0.30;18.30;18.30;5.15;0.00;19.60;0.00;1.17;0.00;5.15;-0.00
90.00;-28.00;-5.41;0.00;20.00;5.02;0.00;1.35;6.76;0.00;1.58;0.80;1.81;0.30;28.00;28.00;5.41;0.00;19.60;4.52;0.00;3.38;6.76;-0.00
